ROI,Z_view_gt_baseline,Beta_view_gt_baseline,Z_recall_gt_baseline,Beta_recall_gt_baseline,Z_imagine_gt_baseline,Beta_imagine_gt_baseline,Z_view_gt_recall,Beta_view_gt_recall,Z_view_gt_imagine,Beta_view_gt_imagine,Z_recall_gt_imagine,Beta_recall_gt_imagine
Brain-Stem,0.12534386898933908,0.07854380787872509,0.07322646783136666,0.045533804290284786,0.07488579201483804,0.037155642671882934,0.2086645314458604,0.14172975036184932,0.11529537332889629,0.09255381662448509,-0.003188138738389748,0.01562714220444657
Left Hippocampus,0.09871806358137956,0.1480235738455965,0.044655823874012714,0.08620846010879729,-0.13721497418113762,-0.07101560837980248,0.25232051007731904,0.26565308907509055,0.5281545366251805,0.5114089085592176,0.3715488092812554,0.3662920102625925
Left Amygdala,0.25788779511080057,0.2676671696628768,0.057894790290405805,0.11525040561535754,0.14816012261440517,0.16977901086711944,0.6929314467134005,0.6484560804969466,0.19430811872766232,0.20975157419344334,-0.18459977290141438,-0.13720288235379402
Left Accumbens,0.11522495226432156,0.10317814065377094,0.27686581925300824,0.25997640208009065,-0.16337090351238448,-0.06973166085072006,-0.8203158530309862,-0.6711866196134129,0.4160473918088988,0.41789833757304046,0.8261871616463077,0.7637141936629311
Right Cerebral White Matter,-0.13526888221710343,-0.09716489526296074,-0.18635717636969018,-0.14941974824695978,-0.06618112975638442,-0.04937521757647204,0.1961406535244485,0.2247363504916784,-0.166108587168878,-0.10342940142476438,-0.30019748850157685,-0.2214747013105403
Right Cerebral Cortex,0.11057034398035202,0.12178758112007841,0.022019527617447927,0.029118635837673892,-0.02163116782982541,-0.01428981139526122,0.17790674557407396,0.38781185925125994,0.2235206718226967,0.31156637512482555,0.08695819729010759,0.10365725824600869
Right Lateral Ventricle,0.05186610617104384,0.07008268261035987,0.17708879852756526,0.14051629866667123,0.20945034760232864,0.15886413195188737,-0.23367736022120084,-0.2973306756773855,-0.181524970392338,-0.21571517574481194,-0.086360535127278,-0.055490823608487096
Right Thalamus,0.05162002249244304,-0.005159082050128739,-0.23340423217259398,-0.20460133881666656,-0.24952297397519027,-0.23791528211780844,0.7960630317370296,0.849650686433068,0.6251231824148017,0.5552251661248195,0.11894998856045134,0.09960112767010196
Right Caudate,-0.04100472899881193,-0.0458368773570162,-0.048534304097041535,-0.035968435871153705,0.1474447845709437,0.10337267364290807,-0.05316066817931769,-0.037527633755045156,-0.4075309141056141,-0.3481051260254994,-0.44529205397816424,-0.3239903641748271
Right Putamen,0.002173468077503082,0.012475144080409284,-0.15365205762942086,-0.11498236510777751,0.0604674668478042,0.08533610798360505,0.5931406327167368,0.5463552039399681,-0.18504318874148865,-0.16539330515699094,-0.5398848392953437,-0.45790818693607593
Right Pallidum,-0.22937868207739467,-0.19639325070173796,-0.27020222925611814,-0.22861696978300397,-0.2237007261191014,-0.17277143084294977,0.21522957878871485,0.13959353098205585,0.011901540758876157,-0.033623664079408117,-0.08277768562977572,-0.10917008735025449
Right Hippocampus,0.36441815223048674,0.34519446483746485,0.21685770208086566,0.2313001917212443,-0.034926072121456195,0.02535786057480941,0.48640080058495766,0.4850385783594329,0.7586546312539738,0.7328409839754166,0.5687907417890443,0.46866453943390396
Right Amygdala,0.25529133459773024,0.2599855300988031,-0.005383919237083231,0.0662566690588803,-0.006778307835434728,0.04672449625087406,0.8637479051097697,0.8267892018500329,0.5574376988859561,0.48287927146978066,0.03291134378592768,0.04200558610501271
Right Accumbens,0.07017835781022438,-0.03431266147356241,0.27487431426585074,0.15533404372209275,-0.26492711899130084,-0.22416501031853361,-0.8066787049949399,-0.8136733347911582,0.404269695650257,0.46606132028871855,0.9164256310623857,0.8887767123705423
